,x_ego,y_ego,yaw_rad_ego,v_mps_ego,acc_mpss_ego,width_ego,length_ego,locationPoint2Head_ego,locationPoint2Rear_ego,x_1,y_1,yaw_rad_1,v_mps_1,acc_mpss_1,width_1,length_1,locationPoint2Head_1,locationPoint2Rear_1,end
0.0,947.26,2117.26,1.919,5.5,0,6.7,13.4,9.8,3.8,886.40038,2049.96232,1.64207,0.13338,0.22977,1.947,5.416,2.708,2.708,-1.0
0.1,947.2232940024021,2117.6060176664146,1.91263629067832,5.447816884277292,0.9999757395231472,6.7,13.4,9.8,3.8,886.39857,2049.98933,1.64119,0.2711,0.29921,1.947,5.416,2.708,2.708,-1.0
0.2,947.196968067806,2117.95685087246,1.9023338593944115,5.475198210485619,0.9999759191267806,6.7,13.4,9.8,3.8,886.3953,2050.02712,1.64189,0.37951,0.37043,1.947,5.416,2.708,2.708,-1.0
0.30000000000000004,947.1740828320375,2118.311062289975,1.892853128100466,5.517253359072927,0.9999758249690517,6.7,13.4,9.8,3.8,886.39163,2050.07526,1.64235,0.48307,0.44231,1.947,5.416,2.708,2.708,-1.0
0.4,947.1518358949891,2118.67404504707,1.8844115100960523,5.618290409326898,0.9999756799938209,6.7,13.4,9.8,3.8,886.38853,2050.13034,1.64201,0.55179,0.51291,1.947,5.416,2.708,2.708,-1.0
0.5,947.1293069372159,2119.0476979516693,1.8769129039281498,5.722215436624139,0.9999753299209482,6.7,13.4,9.8,3.8,886.38593,2050.18934,1.64387,0.59072,0.57524,1.947,5.416,2.708,2.708,-1.0
0.6,947.1062619944324,2119.431957475944,1.870286150159915,5.8250314171649,0.9999749672319629,6.7,13.4,9.8,3.8,886.38055,2050.25634,1.64357,0.67244,0.62503,1.947,5.416,2.708,2.708,-1.0
0.7,947.0824951181794,2119.826624493337,1.8644733839369114,5.926551145753945,0.9999746058090242,6.7,13.4,9.8,3.8,886.37553,2050.32921,1.64488,0.73062,0.66252,1.947,5.416,2.708,2.708,-1.0
0.7999999999999999,947.0578128121858,2120.2315119325367,1.859411119997864,6.026852219385618,0.9999742464009989,6.7,13.4,9.8,3.8,886.36945,2050.41129,1.6438,0.82328,0.69004,1.947,5.416,2.708,2.708,-1.0
0.8999999999999999,947.0320303482387,2120.646447982013,1.8550358380237386,6.126245140722793,0.9999738888267745,6.7,13.4,9.8,3.8,886.36234,2050.50024,1.64448,0.89271,0.71409,1.947,5.416,2.708,2.708,-1.0
0.9999999999999999,947.004964237285,2121.0712899613827,1.8512873806399037,6.224552937148229,0.9999735320565664,6.7,13.4,9.8,3.8,886.35371,2050.59998,1.64564,1.0015,0.7376,1.947,5.416,2.708,2.708,-1.0
1.0999999999999999,946.9764206483331,2121.505834449917,1.8481322125809658,6.321211934103246,0.9999731767920588,6.7,13.4,9.8,3.8,886.346,2050.70865,1.64799,1.09007,0.7605,1.947,5.416,2.708,2.708,-1.0
1.2,946.9462431958473,2121.9498610640185,1.8455139355846042,6.416139746222787,0.9999728251404864,6.7,13.4,9.8,3.8,886.33706,2050.82667,1.649,1.18394,0.77988,1.947,5.416,2.708,2.708,-1.0
1.3,946.9143132362881,2122.403155737729,1.8433695085059054,6.509293824284174,0.9999724774012594,6.7,13.4,9.8,3.8,886.32412,2050.95463,1.65007,1.28654,0.79756,1.947,5.416,2.708,2.708,-1.0
1.4000000000000001,946.8805065144845,2122.8655018292807,1.841652531291235,6.600708620422472,0.9999721333665312,6.7,13.4,9.8,3.8,886.31189,2051.08969,1.65384,1.35666,0.81052,1.947,5.416,2.708,2.708,-1.0
1.5000000000000002,946.8447060602692,2123.3366890037664,1.8403206878974605,6.690402126823468,0.9999717911579763,6.7,13.4,9.8,3.8,886.3,2051.23473,1.6569,1.45584,0.81594,1.947,5.416,2.708,2.708,-1.0
1.6000000000000003,946.8068048653691,2123.8165098804884,1.8393348472967253,6.778384894431669,0.999971443939128,6.7,13.4,9.8,3.8,886.28459,2051.38423,1.66197,1.50368,0.81093,1.947,5.416,2.708,2.708,-1.0
1.7000000000000004,946.7667043293451,2124.304764492238,1.838659002305879,6.864773653909169,0.9999710675473538,6.7,13.4,9.8,3.8,886.2695,2051.54469,1.66161,1.61226,0.79536,1.947,5.416,2.708,2.708,-1.0
1.8000000000000005,946.72430692766,2124.8012876552057,1.8382599930008705,6.950142030647948,0.999970579562012,6.7,13.4,9.8,3.8,886.25294,2051.70976,1.66643,1.65975,0.77088,1.947,5.416,2.708,2.708,-1.0
1.9000000000000006,946.67950813726,2125.3059783600256,1.8381072576479351,7.0350696316452215,0.9999697045928005,6.7,13.4,9.8,3.8,886.23678,2051.88174,1.66892,1.72798,0.7401,1.947,5.416,2.708,2.708,-1.0
2.0000000000000004,946.6322036777658,2125.818770621653,1.8381730631859599,7.119657414547603,0.9999675403638513,6.7,13.4,9.8,3.8,886.21838,2052.05605,1.67101,1.75356,0.69913,1.947,5.416,2.708,2.708,-1.0
2.1000000000000005,946.582367460932,2126.339622411987,1.8383860660764244,7.203911966832187,0.999961185313859,6.7,13.4,9.8,3.8,886.19754,2052.23336,1.67563,1.78592,0.65541,1.947,5.416,2.708,2.708,-1.0
2.2000000000000006,946.5299384356093,2126.8684815302013,1.8387345614782264,7.287805956593982,0.9999414643168341,6.7,13.4,9.8,3.8,886.17686,2052.4155,1.67863,1.83403,0.60604,1.947,5.416,2.708,2.708,-1.0
2.3000000000000007,946.4747977119897,2127.405274365104,1.8392340512441767,7.371287309516124,0.9998799181771587,6.7,13.4,9.8,3.8,886.15587,2052.6002,1.68244,1.85948,0.55551,1.947,5.416,2.708,2.708,-1.0
2.400000000000001,946.4168680776422,2127.9499364919543,1.8398692328739192,7.454359032034125,0.9996900306857528,6.7,13.4,9.8,3.8,886.13368,2052.7848,1.68585,1.86023,0.50438,1.947,5.416,2.708,2.708,-1.0
2.500000000000001,946.3561597905118,2128.5024281880146,1.8405726897081998,7.537030182302698,0.9991134029558132,6.7,13.4,9.8,3.8,886.1112,2052.97217,1.68859,1.88783,0.45674,1.947,5.416,2.708,2.708,-1.0
2.600000000000001,946.292646104025,2129.062698775929,1.8413400651746141,7.619235786668843,0.9973917272352144,6.7,13.4,9.8,3.8,886.08542,2053.16182,1.69434,1.91474,0.41203,1.947,5.416,2.708,2.708,-1.0
2.700000000000001,946.2262869585645,2129.630680425255,1.8421629784404003,7.70093435623042,0.992344587934011,6.7,13.4,9.8,3.8,886.05742,2053.35276,1.69742,1.93061,0.37172,1.947,5.416,2.708,2.708,-1.0
2.800000000000001,946.1570199968663,2130.2063194233842,1.8430596843593818,7.782392988040077,0.9778191014311826,6.7,13.4,9.8,3.8,886.03059,2053.54608,1.69995,1.95247,0.33722,1.947,5.416,2.708,2.708,-1.0
2.9000000000000012,946.0847443095981,2130.7895628008346,1.8440486578570991,7.863625601006764,0.9365339665549267,6.7,13.4,9.8,3.8,886.00234,2053.74077,1.70317,1.96805,0.31115,1.947,5.416,2.708,2.708,-1.0
3.0000000000000013,946.0095358007078,2131.380407409047,1.8450307706839808,7.944621285773084,0.8207891495590403,6.7,13.4,9.8,3.8,885.97674,2053.9361,1.70853,1.97071,0.28935,1.947,5.416,2.708,2.708,-1.0
3.1000000000000014,945.9317920423332,2131.9780924787296,1.845901024104768,8.003709872817266,0.5007129207239335,6.7,13.4,9.8,3.8,885.94565,2054.13442,1.71201,2.00838,0.26926,1.947,5.416,2.708,2.708,-1.0
3.2000000000000015,945.8513357713524,2132.583469361654,1.8466751228350728,8.084575692952235,-0.04748787474764065,6.7,13.4,9.8,3.8,885.91344,2054.33524,1.71145,2.03446,0.25041,1.947,5.416,2.708,2.708,-1.0
3.3000000000000016,945.7700633016411,2133.19035949625,1.8472968946964263,8.04741444019795,-1.0474878747476406,6.7,13.4,9.8,3.8,885.88122,2054.53865,1.71296,2.06026,0.2377,1.947,5.416,2.708,2.708,-1.0
3.4000000000000017,945.6903392322155,2133.790561258185,1.8478333835370437,7.965683472626268,-0.8057026596047475,6.7,13.4,9.8,3.8,885.85057,2054.74323,1.7162,2.06953,0.22843,1.947,5.416,2.708,2.708,-1.0
3.5000000000000018,945.6115999533705,2134.3860332816976,1.8483139529564174,7.954071984462511,0.19429734039525248,6.7,13.4,9.8,3.8,885.81771,2054.94806,1.71943,2.07524,0.22365,1.947,5.416,2.708,2.708,-1.0
3.600000000000002,945.532838011437,2134.9810276155767,1.8486579847290618,7.955127997037481,0.43768606237995633,6.7,13.4,9.8,3.8,885.78966,2055.15384,1.72032,2.07759,0.21757,1.947,5.416,2.708,2.708,-1.0
