,x_ego,y_ego,yaw_rad_ego,v_mps_ego,acc_mpss_ego,width_ego,length_ego,locationPoint2Head_ego,locationPoint2Rear_ego,x_1,y_1,yaw_rad_1,v_mps_1,acc_mpss_1,width_1,length_1,locationPoint2Head_1,locationPoint2Rear_1,x_2,y_2,yaw_rad_2,v_mps_2,acc_mpss_2,width_2,length_2,locationPoint2Head_2,locationPoint2Rear_2,x_3,y_3,yaw_rad_3,v_mps_3,acc_mpss_3,width_3,length_3,locationPoint2Head_3,locationPoint2Rear_3,x_4,y_4,yaw_rad_4,v_mps_4,acc_mpss_4,width_4,length_4,locationPoint2Head_4,locationPoint2Rear_4,end
0.0,2368.88,1004.35,1.58,5,0,4,9,6.5,2.5,2374.8832,1029.9886,0.9499,3.8334,-0.352,1.877,4.49,2.245,2.245,2371.8426,1037.1138,4.0292,4.6384,0.0052,1.877,4.49,2.245,2.245,2376.9226,1045.0949,1.842,3.072,0.0748,1.877,4.49,2.245,2.245,2364.7919,1050.7771,5.7883,3.4847,0.2292,1.877,4.49,2.245,2.245,-1.0
0.1,2368.8754,1004.85,1.5784,4.6461,-3.5391,4,9,6.5,2.5,2375.1182,1030.3014,0.9381,3.8074,-0.3469,1.877,4.49,2.245,2.245,2371.5239,1036.7509,4.0476,4.6782,0.0461,1.877,4.49,2.245,2.245,2376.8388,1045.3892,1.8521,3.0846,0.1458,1.877,4.49,2.245,2.245,2365.1026,1050.5715,5.769,3.5824,0.2853,1.877,4.49,2.245,2.245,-1.0
0.2,2368.8719,1005.3146,1.577,4.3027,-3.4341,4,9,6.5,2.5,2375.3553,1030.6061,0.9264,3.7689,-0.3427,1.877,4.49,2.245,2.245,2371.2107,1036.3759,4.0677,4.7232,0.0919,1.877,4.49,2.245,2.245,2376.7541,1045.6846,1.8687,3.1034,0.2132,1.877,4.49,2.245,2.245,2365.4279,1050.3726,5.7529,3.6581,0.3341,1.877,4.49,2.245,2.245,-1.0
0.30000000000000004,2368.8692,1005.7448,1.5757,3.9678,-3.3487,4,9,6.5,2.5,2375.5966,1030.9037,0.9134,3.7604,-0.3397,1.877,4.49,2.245,2.245,2370.9051,1035.9893,4.0858,4.7702,0.1414,1.877,4.49,2.245,2.245,2376.6638,1045.9823,1.8865,3.1494,0.2778,1.877,4.49,2.245,2.245,2365.7575,1050.1704,5.7438,3.6835,0.3694,1.877,4.49,2.245,2.245,-1.0
0.4,2368.8672,1006.1416,1.5745,3.6397,-3.2807,4,9,6.5,2.5,2375.8424,1031.1945,0.9003,3.7328,-0.3359,1.877,4.49,2.245,2.245,2370.6042,1035.5986,4.1032,4.8084,0.1909,1.877,4.49,2.245,2.245,2376.5774,1046.2872,1.9025,3.1898,0.3359,1.877,4.49,2.245,2.245,2366.0861,1049.964,5.738,3.7141,0.3951,1.877,4.49,2.245,2.245,-1.0
0.5,2368.8659,1006.5056,1.5735,3.3164,-3.2333,4,9,6.5,2.5,2376.0902,1031.4818,0.8877,3.7162,-0.3288,1.877,4.49,2.245,2.245,2370.3032,1035.2096,4.1215,4.8315,0.2396,1.877,4.49,2.245,2.245,2376.5027,1046.6002,1.9186,3.2916,0.3836,1.877,4.49,2.245,2.245,2366.4162,1049.7524,5.7309,3.776,0.4172,1.877,4.49,2.245,2.245,-1.0
0.6,2368.865,1006.8372,1.5725,2.9957,-3.2073,4,9,6.5,2.5,2376.3365,1031.7675,0.8748,3.6846,-0.3208,1.877,4.49,2.245,2.245,2370.0027,1034.8149,4.139,4.9012,0.2828,1.877,4.49,2.245,2.245,2376.4225,1046.9214,1.9341,3.3397,0.4222,1.877,4.49,2.245,2.245,2366.7451,1049.5347,5.724,3.7716,0.4214,1.877,4.49,2.245,2.245,-1.0
0.7,2368.8645,1007.1368,1.5718,2.6778,-3.1792,4,9,6.5,2.5,2376.5811,1032.048,0.8618,3.6363,-0.3117,1.877,4.49,2.245,2.245,2369.7041,1034.4102,4.158,4.9546,0.3161,1.877,4.49,2.245,2.245,2376.331,1047.2455,1.9504,3.3932,0.4529,1.877,4.49,2.245,2.245,2367.0679,1049.3041,5.721,3.8452,0.4107,1.877,4.49,2.245,2.245,-1.0
0.7999999999999999,2368.8642,1007.4046,1.5711,2.3604,-3.1735,4,9,6.5,2.5,2376.8248,1032.3221,0.8488,3.5902,-0.304,1.877,4.49,2.245,2.245,2369.4168,1033.9903,4.1768,5.0063,0.34,1.877,4.49,2.245,2.245,2376.2218,1047.5734,1.9627,3.5127,0.4734,1.877,4.49,2.245,2.245,2367.3982,1049.0744,5.7171,3.9029,0.3877,1.877,4.49,2.245,2.245,-1.0
0.8999999999999999,2368.8642,1007.6406,1.5706,2.0421,-3.1836,4,9,6.5,2.5,2377.069,1032.5912,0.8345,3.583,-0.2953,1.877,4.49,2.245,2.245,2369.1414,1033.5565,4.1942,5.0669,0.3572,1.877,4.49,2.245,2.245,2376.0878,1047.9008,1.9736,3.5847,0.4811,1.877,4.49,2.245,2.245,2367.7486,1048.8707,5.712,3.943,0.3548,1.877,4.49,2.245,2.245,-1.0
